target_role,universe,units,estimate_median_point_delta_r2,score_median_point_delta_r2,score_minus_estimate_median_point_delta_r2,median_abs_unit_point_delta_difference,max_abs_unit_point_delta_difference,estimate_material_units,score_material_units,estimate_marginal_units,score_marginal_units,estimate_setup_dependent_units,score_setup_dependent_units,estimate_unsupported_units,score_unsupported_units,estimate_coverage_limited_units,score_coverage_limited_units,changed_unit_verdicts,estimate_setup_verdict,score_setup_verdict,setup_verdict_changed
normalized,All_Eligible,18,0.0056024731462032,0.005602473146247299,4.40992728445444e-14,1.1675001243549588e-12,4.954800458811803e-12,4,3,10,11,1,1,3,3,0,0,1,Setup-dependent,Setup-dependent,False
normalized,Oil_Rent_Intensive_Pre2016_ge10pct,18,-1.8718780969706472e-07,-1.8718779520865425e-07,1.4488410471358293e-14,1.4895372262013762e-12,6.10416005936143e-11,0,0,5,5,6,6,4,4,3,3,0,Setup-dependent,Setup-dependent,False
normalized,Oil_Rent_Intensive_Pre2016_ge15pct,18,-0.00222025869399235,-0.0022202586712548,2.2737549690288184e-11,1.123200000347456e-11,1.0571470088205359e-10,0,0,1,1,6,6,8,8,3,3,0,Setup-dependent,Setup-dependent,False
normalized,Oil_Rent_Intensive_Pre2016_ge1pct,18,0.0006308785359461001,0.0006308785381647999,2.218699833231308e-12,3.902703897898374e-13,9.36040004187455e-12,0,0,7,7,8,8,3,3,0,0,0,Setup-dependent,Setup-dependent,False
normalized,Oil_Rent_Intensive_Pre2016_ge5pct,18,0.0006961489856237,0.0006961489940359,8.412199973065193e-12,4.544000104574758e-12,3.0256600176692405e-11,0,0,8,8,5,5,5,5,0,0,0,Setup-dependent,Setup-dependent,False
primary,All_Eligible,18,0.0025052519059934,0.00250525190309935,-2.894050016993832e-12,2.1263000041238378e-12,3.3554999057106016e-12,0,0,14,14,2,3,2,1,0,0,1,Setup-dependent,Setup-dependent,False
primary,Oil_Rent_Intensive_Pre2016_ge10pct,18,0.0013157826461744,0.0013157826477538,1.5794000222252302e-12,1.5427999589673336e-12,4.88532998776936e-11,0,0,7,7,5,5,3,3,3,3,0,Setup-dependent,Setup-dependent,False
primary,Oil_Rent_Intensive_Pre2016_ge15pct,18,-0.0009859968242801002,-0.0009859968197631,4.51700027208346e-12,4.18905001290347e-12,8.854630050014745e-11,0,0,1,1,4,4,10,10,3,3,0,Setup-dependent,Setup-dependent,False
primary,Oil_Rent_Intensive_Pre2016_ge1pct,18,4.992883233401191e-05,4.9928832842327526e-05,5.083156186008915e-13,2.1280015510133365e-13,8.00710019122075e-12,0,0,5,5,7,7,6,6,0,0,0,Setup-dependent,Setup-dependent,False
primary,Oil_Rent_Intensive_Pre2016_ge5pct,18,0.00145599181421055,0.00145599182233015,8.11960004440393e-12,4.189799874231015e-12,1.99570000282423e-11,0,0,10,10,7,7,1,1,0,0,0,Setup-dependent,Setup-dependent,False
