sample_id,signal,target_role,universe,validation,split_id,algorithm,comparison_type,countries_N,replicates,draws_min,draws_max,distinct_countries_min,distinct_countries_median,distinct_countries_max,duplicate_draws_median,all_replicates_exact_N_draws,draw_count_matrix_sha256
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,signal_increment,185,2000,185,185,101,117.0,132,68.0,True,177150ec11f8e52b792357b8690b11ba04ec2f9c640f2fbdcd2ab0856c208a85
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,added_model_vs_strongest_benchmark,185,2000,185,185,101,117.0,132,68.0,True,177150ec11f8e52b792357b8690b11ba04ec2f9c640f2fbdcd2ab0856c208a85
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,ElasticNet,signal_increment,185,2000,185,185,101,117.0,132,68.0,True,177150ec11f8e52b792357b8690b11ba04ec2f9c640f2fbdcd2ab0856c208a85
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,ElasticNet,added_model_vs_strongest_benchmark,185,2000,185,185,101,117.0,132,68.0,True,177150ec11f8e52b792357b8690b11ba04ec2f9c640f2fbdcd2ab0856c208a85
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,RandomForest,signal_increment,185,2000,185,185,101,117.0,132,68.0,True,177150ec11f8e52b792357b8690b11ba04ec2f9c640f2fbdcd2ab0856c208a85
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,RandomForest,added_model_vs_strongest_benchmark,185,2000,185,185,101,117.0,132,68.0,True,177150ec11f8e52b792357b8690b11ba04ec2f9c640f2fbdcd2ab0856c208a85
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,All_Eligible,Future_Period,train_to_2012__test_from_2013,Ridge,signal_increment,184,2000,184,184,103,117.0,129,67.0,True,4885449e7602620a09cfee13fc7cefc7b7940afa0d920f18a15d9a52c02d67a2
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,All_Eligible,Future_Period,train_to_2012__test_from_2013,Ridge,added_model_vs_strongest_benchmark,184,2000,184,184,103,117.0,129,67.0,True,4885449e7602620a09cfee13fc7cefc7b7940afa0d920f18a15d9a52c02d67a2
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,All_Eligible,Future_Period,train_to_2012__test_from_2013,ElasticNet,signal_increment,184,2000,184,184,103,117.0,129,67.0,True,4885449e7602620a09cfee13fc7cefc7b7940afa0d920f18a15d9a52c02d67a2
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,All_Eligible,Future_Period,train_to_2012__test_from_2013,ElasticNet,added_model_vs_strongest_benchmark,184,2000,184,184,103,117.0,129,67.0,True,4885449e7602620a09cfee13fc7cefc7b7940afa0d920f18a15d9a52c02d67a2
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,All_Eligible,Future_Period,train_to_2012__test_from_2013,RandomForest,signal_increment,184,2000,184,184,103,117.0,129,67.0,True,4885449e7602620a09cfee13fc7cefc7b7940afa0d920f18a15d9a52c02d67a2
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,All_Eligible,Future_Period,train_to_2012__test_from_2013,RandomForest,added_model_vs_strongest_benchmark,184,2000,184,184,103,117.0,129,67.0,True,4885449e7602620a09cfee13fc7cefc7b7940afa0d920f18a15d9a52c02d67a2
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,All_Eligible,Future_Period,train_to_2014__test_from_2015,Ridge,signal_increment,184,2000,184,184,102,116.0,130,68.0,True,4f0d16425d92a1b40934ad49f55c6a2c8c4bb17b94e5683d4eef890ee6b7acea
